id,class,valid,name,n,ms,sorted_ms,product,log2_product,L,kappa_mov,kappa_tot,H_pos_sum,H_pos_avg,H_mover,H_joint,coverage,L_over_n,L_over_n2,kappa_mov_over_L,kappa_mov_over_nL,Hpos_over_log2prod,Hpos_over_nlog23
1,at_smallN,True,w5,5,"[2,2,2,3,4]","[2,2,2,3,4]",96,6.584962500721156,18,18,51,6.338856,1.267771,2.19716,5.390092,0.1875,3.6,0.72,1.0,0.2,0.9626,0.7999
2,at_smallN,True,w6,6,"[2,2,2,4,3,3]","[2,2,2,3,3,4]",288,8.169925001442312,35,30,82,7.902076,1.317013,2.257509,5.785032,0.121528,5.8333,0.9722,0.8571,0.1429,0.9672,0.8309
3,at_smallN,True,w7,7,"[3,2,2,2,3,4,3]","[2,2,2,3,3,3,4]",864,9.754887502163468,52,35,99,8.73433,1.247761,2.46825,5.934428,0.060185,7.4286,1.0612,0.6731,0.0962,0.8954,0.7872
4,at_smallN,True,w8,8,"[2,2,3,4,3,3,2,3]","[2,2,2,3,3,3,3,4]",2592,11.339850002884624,55,38,108,9.235104,1.154388,2.670861,5.900273,0.021219,6.875,0.8594,0.6909,0.0864,0.8144,0.7283
5,at_clb,True,,5,"[2,3,3,3,2]","[2,2,3,3,3]",108,6.754887502163468,13,13,39,6.420064,1.284013,2.295466,5.056306,0.12037,2.6,0.52,1.0,0.2,0.9504,0.8101
6,at_clb,True,,6,"[2,3,3,3,3,2]","[2,2,3,3,3,3]",324,8.339850002884624,16,16,48,7.842702,1.307117,2.561278,5.220176,0.049383,2.6667,0.4444,1.0,0.1667,0.9404,0.8247
7,at_clb,True,,7,"[2,3,3,3,3,3,2]","[2,2,3,3,3,3,3]",972,9.92481250360578,19,19,57,9.258777,1.322682,2.786115,5.350579,0.019547,2.7143,0.3878,1.0,0.1429,0.9329,0.8345
8,at_clb,True,,8,"[2,3,3,3,3,3,3,2]","[2,2,3,3,3,3,3,3]",2916,11.509775004326936,22,22,66,10.670764,1.333846,2.980826,5.461844,0.007545,2.75,0.3438,1.0,0.125,0.9271,0.8416
9,at_clb,True,,9,"[2,3,3,3,3,3,3,3,2]","[2,2,3,3,3,3,3,3,3]",8748,13.094737505048093,25,25,75,12.080023,1.342225,3.152488,5.560597,0.002858,2.7778,0.3086,1.0,0.1111,0.9225,0.8468
10,at_clb,True,,10,"[2,3,3,3,3,3,3,3,3,2]","[2,2,3,3,3,3,3,3,3,3]",26244,14.679700005769249,28,28,84,13.487361,1.348736,3.305958,5.650343,0.001067,2.8,0.28,1.0,0.1,0.9188,0.851
11,sub,False,,5,"[2,2,2,2,2]","[2,2,2,2,2]",32,5.0,10,10,30,5.0,1.0,2.321928,4.692879,0.3125,2.0,0.4,1.0,0.2,1.0,0.6309
12,sub,False,,5,"[2,2,2,2,4]","[2,2,2,2,4]",64,6.0,10,10,30,5.0,1.0,2.321928,4.692879,0.15625,2.0,0.4,1.0,0.2,0.8333,0.6309
13,sub,False,,5,"[2,2,2,3,2]","[2,2,2,2,3]",48,5.584962500721156,14,14,40,5.440527,1.088105,2.235926,5.04716,0.291667,2.8,0.56,1.0,0.2,0.9741,0.6865
14,sub,False,,5,"[2,2,2,4,2]","[2,2,2,2,4]",64,6.0,14,14,40,5.683978,1.136796,2.235926,5.01421,0.21875,2.8,0.56,1.0,0.2,0.9473,0.7172
15,sub,False,,5,"[2,2,3,2,2]","[2,2,2,2,3]",48,5.584962500721156,14,14,40,5.440527,1.088105,2.235926,5.04716,0.291667,2.8,0.56,1.0,0.2,0.9741,0.6865
16,sub,False,,5,"[2,2,3,3,2]","[2,2,2,3,3]",72,6.169925001442312,16,16,45,5.753421,1.150684,2.227217,5.190634,0.222222,3.2,0.64,1.0,0.2,0.9325,0.726
17,sub,False,,5,"[2,2,5,2,2]","[2,2,2,2,5]",80,6.321928094887363,18,18,50,6.02383,1.204766,2.113283,5.267652,0.225,3.6,0.72,1.0,0.2,0.9528,0.7601
18,sub,False,,5,"[2,3,2,2,3]","[2,2,2,3,3]",72,6.169925001442312,14,14,40,5.440527,1.088105,2.235926,5.04716,0.194444,2.8,0.56,1.0,0.2,0.8818,0.6865
19,sub,False,,6,"[2,2,2,2,2,2]","[2,2,2,2,2,2]",64,6.0,12,12,36,6.0,1.0,2.584963,4.836592,0.1875,2.0,0.3333,1.0,0.1667,1.0,0.6309
