n,ms,L,cycle_size,N1_size,peel_size,chain_length,termination,loop_len,reach_cycle_step,max_hamming_in_chain,num_branchings,T_size,T_in_N1,T_fraction_in_N1,T_dead_ends,T_any_cycle_only,T_non_closed,SK_local_size,SK_local_peel_rounds,c_star_in_SK_local
5,"[2, 2, 2, 3, 3]",12,12,40,24,12,loop,12,,2,9,26,24,0.923,0,0,0,26,1,True
5,"[2, 2, 2, 3, 3]",12,12,30,24,12,loop,12,,2,9,26,24,0.923,0,0,0,26,1,True
5,"[2, 2, 2, 3, 3]",12,12,39,24,12,loop,12,,2,9,26,24,0.923,0,0,0,26,1,True
5,"[2, 2, 2, 3, 3]",12,12,40,24,12,loop,12,,2,9,26,24,0.923,0,0,0,26,1,True
5,"[2, 2, 2, 3, 3]",12,12,30,24,12,loop,12,,2,9,26,24,0.923,0,0,0,26,1,True
5,"[2, 2, 2, 3, 3]",12,12,39,24,12,loop,12,,2,9,26,24,0.923,0,0,0,26,1,True
5,"[2, 2, 2, 3, 3]",12,12,39,24,12,loop,12,,1,9,26,24,0.923,0,0,0,26,1,True
5,"[2, 2, 2, 3, 3]",12,12,41,18,12,loop,12,,2,6,21,19,0.905,0,0,0,21,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,61,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,61,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,62,42,14,loop,14,,2,11,54,42,0.778,0,0,0,54,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,62,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,50,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,62,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,62,42,14,loop,14,,2,11,54,42,0.778,0,0,0,54,1,True
6,"[2, 2, 2, 3, 3, 3]",14,14,62,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,62,42,14,loop,14,,2,10,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,62,42,14,loop,14,,2,10,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,62,42,14,loop,14,,2,10,53,42,0.792,0,0,0,53,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,62,42,14,loop,14,,2,10,54,42,0.778,0,0,0,54,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,50,42,14,loop,14,,2,10,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,62,42,14,loop,14,,2,10,53,42,0.792,0,0,0,53,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,62,42,14,loop,14,,2,10,53,42,0.792,0,0,0,53,1,True
6,"[2, 2, 3, 2, 3, 3]",14,14,62,42,14,loop,14,,2,10,54,42,0.778,0,0,0,54,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,62,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,50,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,61,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,62,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,50,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,61,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,61,42,14,loop,14,,2,11,52,42,0.808,0,0,0,52,1,True
6,"[2, 2, 2, 2, 3, 3]",14,14,63,33,14,loop,14,,2,11,45,35,0.778,0,0,0,45,1,True
7,"[2, 2, 2, 3, 3, 3, 3]",16,16,87,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 3, 3, 3, 3]",16,16,87,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 3, 3, 3, 3]",16,16,87,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 3, 3, 3, 3]",16,16,87,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 3, 3, 3, 3]",16,16,88,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 3, 3, 3, 3]",16,16,88,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 3, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,12,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 3, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,12,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 3, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,12,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 3, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,12,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 3, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,12,91,64,0.703,0,0,0,91,1,True
7,"[2, 2, 3, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,12,91,64,0.703,0,0,0,91,1,True
7,"[2, 2, 2, 2, 3, 3, 3]",16,16,87,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 2, 3, 3, 3]",16,16,87,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,13,93,64,0.688,0,0,0,93,1,True
7,"[2, 2, 2, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 2, 3, 3, 3]",16,16,74,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
7,"[2, 2, 2, 2, 3, 3, 3]",16,16,88,64,16,loop,16,,2,13,90,64,0.711,0,0,0,90,1,True
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,18,118,90,18,loop,18,,2,14,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,18,118,90,18,loop,18,,2,14,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,18,118,90,18,loop,18,,2,14,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,18,118,90,18,loop,18,,2,14,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,18,118,90,18,loop,18,,2,14,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,18,117,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,18,118,90,18,loop,18,,2,15,142,90,0.634,0,0,0,142,1,True
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,21,157,113,16,dead_end,,,2,9,225,125,0.556,1,0,1,218,8,True
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,21,157,113,16,dead_end,,,2,9,225,125,0.556,1,0,1,218,8,True
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,21,157,113,16,dead_end,,,2,9,225,125,0.556,1,0,1,218,8,True
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,21,157,113,16,dead_end,,,2,9,225,125,0.556,1,0,1,218,8,True
