n,ms,L,N1_size,peel_size,peel_empty,pow_bound,ratio,surv_q,surv_v,surv_i,surv_ms_q,surv_is_binary,surv_num_adj,surv_succ_fire_pos,surv_succ_at_q,surv_succ_in_q_nbhd,surv_config
5,"[2, 2, 2, 3, 3]",12,40,24,False,16,1.500,3,2,0,3,False,1,0,False,False,"[0, 0, 0, 2, 0]"
5,"[2, 2, 2, 3, 3]",12,30,24,False,16,1.500,3,2,0,3,False,1,0,False,False,"[0, 0, 0, 2, 0]"
5,"[2, 2, 2, 3, 3]",12,39,24,False,16,1.500,3,2,0,3,False,1,0,False,False,"[0, 0, 0, 2, 0]"
5,"[2, 2, 2, 3, 3]",12,40,24,False,16,1.500,3,2,0,3,False,1,0,False,False,"[0, 0, 0, 2, 0]"
5,"[2, 2, 2, 3, 3]",12,30,24,False,16,1.500,3,2,0,3,False,1,0,False,False,"[0, 0, 0, 2, 0]"
5,"[2, 2, 2, 3, 3]",12,39,24,False,16,1.500,3,2,0,3,False,1,0,False,False,"[0, 0, 0, 2, 0]"
5,"[2, 2, 2, 3, 3]",12,39,24,False,16,1.500,3,1,0,3,False,1,0,False,False,"[0, 0, 0, 1, 0]"
5,"[2, 2, 2, 3, 3]",12,41,18,False,16,1.125,3,1,0,3,False,1,0,False,False,"[0, 0, 0, 1, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,61,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,61,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,50,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 2, 3, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,62,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,62,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,50,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 3, 2, 3, 3]",14,62,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,62,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,50,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,61,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,62,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,50,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,61,42,False,32,1.312,4,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 2, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,61,42,False,32,1.312,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
6,"[2, 2, 2, 2, 3, 3]",14,63,33,False,32,1.031,4,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 1, 0]"
7,"[2, 2, 2, 3, 3, 3, 3]",16,87,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
7,"[2, 2, 2, 3, 3, 3, 3]",16,87,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
7,"[2, 2, 2, 3, 3, 3, 3]",16,87,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 2, 3, 3, 3, 3]",16,87,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 2, 3, 3, 3, 3]",16,88,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 2, 3, 3, 3, 3]",16,88,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 3, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
7,"[2, 2, 3, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
7,"[2, 2, 3, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 3, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 3, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 3, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 2, 2, 3, 3, 3]",16,87,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 2, 2, 3, 3, 3]",16,87,64,False,64,1.000,5,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 2, 0]"
7,"[2, 2, 2, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
7,"[2, 2, 2, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
7,"[2, 2, 2, 2, 3, 3, 3]",16,74,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
7,"[2, 2, 2, 2, 3, 3, 3]",16,88,64,False,64,1.000,5,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 2, 0]"
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 2, 0]"
8,"[2, 2, 2, 3, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,118,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,118,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,118,90,False,128,0.703,6,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 2, 0]"
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,118,90,False,128,0.703,6,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 2, 0]"
8,"[2, 2, 3, 2, 3, 3, 3, 3]",18,118,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 1, 0]"
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 2, 0]"
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,117,90,False,128,0.703,6,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 2, 0]"
8,"[2, 2, 2, 2, 3, 3, 3, 3]",18,118,90,False,128,0.703,6,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 2, 0]"
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,157,113,False,256,0.441,7,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,157,113,False,256,0.441,7,1,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,157,113,False,256,0.441,7,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 0, 2, 0]"
9,"[2, 2, 2, 2, 3, 3, 3, 3, 3]",21,157,113,False,256,0.441,7,2,0,3,False,1,0,False,False,"[0, 0, 0, 0, 0, 0, 0, 2, 0]"
